category,name,description,price,badge
Espresso Drinks,Espresso,Classic double shot pulled to order. Intense crema with notes of dark chocolate and toasted walnut.,3.50,
Espresso Drinks,Cortado,Equal parts ristretto and lightly steamed whole milk. No foam — just balance.,4.50,
Espresso Drinks,Caramel Flat White,Double ristretto over silky microfoamed oat milk with a slow caramel drizzle.,6.50,Popular
Espresso Drinks,Hazelnut Latte,Two shots of espresso with steamed oat milk and our house-made hazelnut syrup.,7.00,
Espresso Drinks,Dirty Chai,Bold spiced chai concentrate pulled through a double shot of espresso. Warming and complex.,7.50,House Favorite
Espresso Drinks,Vanilla Americano,Long black with a touch of house vanilla syrup. Clean and approachable.,5.50,
Cold Drinks,Cold Brew,18-hour slow-steep Colombian blend. Smooth body low acidity best served straight or over ice.,5.50,Popular
Cold Drinks,Iced Caramel Latte,Espresso chilled over ice with oat milk and a generous swirl of salted caramel.,7.00,
Cold Drinks,Matcha Latte,Ceremonial-grade Japanese matcha whisked smooth with steamed oat milk and a drizzle of honey.,7.00,House Favorite
Cold Drinks,Nutella Mudslide,Espresso blended with hazelnut praline and dark chocolate. Finished with whipped cream and cocoa dust.,12.00,New
Cold Drinks,Mango Passionfruit Iced Tea,House-brewed hibiscus tea shaken with mango puree and fresh passionfruit. Served over crushed ice.,6.00,
Pastries,Almond Croissant,Twice-baked with rich frangipane filling and a shower of toasted flaked almonds.,5.50,House Favorite
Pastries,Pain au Chocolat,Forty-eight layers of laminated butter dough wrapped around two batons of Valrhona dark chocolate.,5.00,
Pastries,Banana Bread,Dense moist loaf with walnut pieces warm spice and a caramelised top. Made fresh each morning.,4.50,Popular
Pastries,Cinnamon Morning Bun,Laminated dough rolled with brown sugar cinnamon and citrus zest then glazed with orange icing.,6.00,
Pastries,Blueberry Lemon Muffin,Bursting with seasonal blueberries and lifted with lemon zest. Crowned with a butter crumble top.,4.00,
Sandwiches,Turkey & Avocado on Sourdough,Shaved turkey breast with smashed avocado baby arugula and whole-grain mustard on toasted sourdough.,13.00,Popular
Sandwiches,Caprese Focaccia,Fresh buffalo mozzarella heirloom tomato and basil pesto pressed into house-baked rosemary focaccia.,12.00,House Favorite
Sandwiches,Smoked Salmon Bagel,Scottish smoked salmon with whipped cream cheese capers red onion and fresh dill on a sesame bagel.,14.00,
Sandwiches,Egg & Gruyère Croissant,Soft scrambled eggs and melted Gruyère with chive butter tucked inside a warm flaky croissant.,11.00,Popular
